JOBID USER ACCOUNT NODELIST
31689060 mjd majorana nid00592
31689987 vjmeraz m3631 nid00010
31689820 srinirag mp107 nid00232
31689760 mmagana desi nid00013
31689631 florianj m3272 nid00[251-254]
31689402 jc738 m1248 nid00[247-250]
31689321 zelongz m1082 nid02306
31689017 sjanhune m2116 nid02305
31688894 my_chan m1867 nid0[2414-2443,2452-2472]
31688797 jornada m2651 nid02304
31688447 bsturd m499 nid000[72-75,77-80]
31687202 lijun m3016 nid00[233-236]
31687167 kpande xray nid00[229-231]
31687070 mathewni m1709 nid00038
31686876 liuyangz m3142 nid00032
31686864 xc_chen m1867 nid00015
31686859 jwruan mp149 nid000[29-30]
31686858 nswenson m1982 nid00009
31686125 adamyers desi nid00[120-127,137-158]
31686072 jl137 m1331 nid0[2386-2389]
31685602 jholoube m3047 nid00018
31685537 vjmeraz m3631 nid000[33-34]
31685521 dsoeder m2730 nid00016
31684930 klabutti m342 nid00012
31684637 grote m2852 nid00268
31684186 asdufek m1759 nid00[221-228]
31682874 nmdcda m3408 nid00[193-195,200-203,208-220]
31682269 clau m2515 nid00[237-246]
31682252 jguterl m1709 nid00031
31680310 merlo m499 nid0[2346-2377]
31680082 roybens m2043 nid00037
31679924 roybens m2043 nid00017
31678122 liuj m1515 nid00028
31678121 liuj m1515 nid00039
31687938 qc_user gtrqc nid00338
31626149 qc_user gtrqc nid00295
31626148 qc_user gtrqc nid00341
31684755 qc_user gtrqc nid00352
31666566 qc_user gtrqc nid00344
31688511 qc_user gtrqc nid00469
31685705 qc_user gtrqc nid00365
31626686 qc_user gtrqc nid00428
31688434 arash m64 nid[02517-02519,02534-02539,02591,02606,02944-02947,03003,03134,03161-03167,03334-03343,03348-03369,03677-03679,03842,03947,04008-04016,04359,04868-04872,04874-04878,05556-05558,06084,06176-06207,08409,09082-09089,10021-10023,11837-11839,12055-12057,12092,12448-12455]
31689988 mwu mp149 nid01013
31689989 mwu mp149 nid01031
31689986 sdseidel m1517 nid00805
31689762 carlsson m1253 nid02155
31689616 sdseidel m1517 nid00762
31689600 medin215 m2699 nid0[0865-0872,1702-1705]
31689596 zelongz m1082 nid02516
31689496 abayer m3058 nid00[604-611]
31689495 abayer m3058 nid0[0765-0767,1761]
31689418 yashpal mp304 nid0[1896-1907]
31689341 startsev mp19 nid0[0746-0759,0778-0785,1575-1584]
31689328 cholland atom nid00[802-804]
31689322 znie mp113 nid02260
31689158 vancliff m554 nid00[677-703,705-707,712-745]
31688844 liling m349 nid00761
31688841 smhagos m1867 nid0[0763-0764,1210-1215,1224-1231]
31688744 akara m1880 nid[01388-01389,13022-13027]
31590888 keskital mp107 nid0[5972-6018,6818-6834]
31688431 jc738 m1248 nid00573
31590885 keskital mp107 nid0[3289,3995-4003,8914-8919,9400-9419,9424-9451]
31590890 keskital mp107 nid[02865,02885,02943,02955,03005,03053,03141,03288,03319,03539,03555,03682,04508,05458,05549,05572,06462-06463,07016-07017,07668,07895,08024-08025,08038,08058,08072,08074,08095,08217,08702,08879-08880,08975,09001,09013,09055-09056,09091,09263,09275,09527,10034,10200,10471,10805,10826,10853,10863,10912,11050,11088,11135-11136,11203,11314,11333,11405,11467,11754,11918,12091,12186,12248]
31585874 jwwang m1082 nid[13016-13019]
