JOBID USER ACCOUNT NODELIST
32068467 mjd majorana nid00593
32068466 alsdata als nid00597
32068432 alsdata als nid00596
32026459 slrath m3615 nid[07071-07072,07110-07111,11112-11113,11134-11135]
32059172 jmorales lz nid02762
32043521 lzprod lz nid00848
32068565 zhenyaof m1338 nid00[139-170]
32068531 tdali92 m3037 nid0[2414-2443,2452-2485]
32068521 dyost m655 nid00010
32068460 jia_qu mp107 nid00[275-286]
32068447 shayakaw m3613 nid00[186-188]
32068435 mgatti des nid00092
32068404 pgurunat m3547 nid00[114-127,137-138]
32068396 pgurunat m3547 nid00[250-255,261-263,268-274]
32068393 sjmondo m342 nid00099
32068388 linx6 m1046 nid00094
32068385 gguidi mp309 nid000[47-50]
32068380 grabowsp m342 nid00015
32068344 alyons18 desi nid00013
32068341 clau m2515 nid00[176-185]
32068319 cmcc matgen nid02307
32068311 s059k400 m3581 nid02305
32068285 jprat m1727 nid000[42-45]
32068266 kyuen2 m3085 nid00[234-249]
32068245 florianj m3272 nid000[17-20]
32068125 bskamel m342 nid00046
32068120 zhenyaof m1338 nid00[194-195,200-203,208-233]
32068015 akoneru m1917 nid02304
32068006 pchouhan nguest nid00[189-191,193]
32067991 gbeardse m1629 nid0[2397-2400]
32067988 jiachen m3346 nid00036
32067669 ddoyle m3253 nid00029
32067502 rqzhang m2753 nid000[21-28]
32067371 giannini des nid00095
32067102 florianj m3272 nid00[110-113]
32066923 jacquieh m937 nid00011
32066313 shayakaw m3613 nid000[96-98]
32066296 chenb mp351 nid000[37-41]
32066233 bsturd m499 nid00[100-107]
32066222 merlo m2116 nid0[2309-2319,2324-2352]
32066182 jiachen m3346 nid00009
32066040 mgbukov m3444 nid000[51-63,72-75,77-91]
32066033 merlo m499 nid0[2361-2379,2384-2396]
32065651 mlembo00 mp107 nid00014
32065652 mlembo00 mp107 nid00016
32068249 kcpitike m1057 nid00[952-953]
32068250 kcpitike m1057 nid0[1258-1259]
32068376+0 qnicolas m3310 nid[02516,02523,02744,02760,02795,02798-02799,02815,02822,02851,03052-03057,03059-03066,03079-03084,03163,03179,03449,03850,03852,04067-04074,04291,04382,04608-04609,04730-04731,05331-05333,05616,05630-05631,05697,05722,05731,05745,05873,05875,05899,05931,05948,05952,05962,05970,05991,05999,06001,06008,06044,06046,06137,06231,07062-07064,08725-08726,08792-08793,08829-08831,09673-09674,09842-09843,09886-09887,11558-11571,12187-12207,12221-12222]
32068376+1 qnicolas m3310 nid0[6243,6267]
32068382 friesen nstaff nid07427
32068394 friesen nstaff nid0[7470,7605,7646,7724]
32068351 smanna m1917 nid[00746-00759,00801-00816,00825-00829,02026-02046,12752-12759]
32068352 smanna m1917 nid[00923-00926,00959,00961-00963,00968-00971,00976-00979,01011-01015,01208-01212,01304-01308,01330-01334,01828-01834,01932-01946,12834-12839]
32068368 arash m64 nid[02517-02519,02582,02604,02647,02678,02682,02716,02773,02801,02814,02872,03047-03049,03071-03075,03087,03250,03568,03621,03636-03638,03690,03694,03723-03726,03732-03734,03745-03749,03762-03764,03785,03851,04425,04514,04640,04729,04734-04736,04782,04915,05498-05500,05553-05556,05632-05633,05668-05670,05755-05757,05850-05852,05994-05997,06049-06050,06100-06102,06124-06129,06566-06567,06726-06729,07538-07539,07712-07715,07774-07775,07940-07941,09015-09016,09279-09280,09318-09319,10412-10413,10760-10761,10861-10866,10884-10887,10932-10933,11110-11111,11220-11221,11572-11576,11810-11811,12517-12518,12541-12542,12653-12654]
32068504 chaojie m3037 nid0[7727,7786,7791,7869]
32068568 u10198 gc3 nid0[1039,1231,1233-1234,1239-1241,1546-1548,1557-1559,1878-1880]
32068563 yashpal mp304 nid00[785,886-888]
32068558 u10198 atom nid0[0792-0795,0849-0851,1057-1061,1075-1078]
32068535 sohampal m94 nid00790
32068496 harnold mp217 nid[01063-01066,01381-01384,01461-01464,01699-01702,01892-01895,02111,02113-02115,02149-02152,13046-13049]
32068486 jttran m696 nid00[982-985]
32068431 startsev mp19 nid0[0761-0767,0776-0784,0798-0800,2281-2293]
32068413 startsev mp19 nid0[0895,0897-0899,0901-0904,0932-0933,1079-1080,1510-1516,1623-1624,1914-1915,2047,2049-2051,2053,2065-2066,2072-2073]
32066187 zhzhuoqi m1727 nid00573
32060631 langxu mp351 nid[00852-00855,00857-00858,00860-00866,00868-00875,00905,00907-00908,00934-00939,00954-00958,00987-00996,01017-01023,01029-01031,01036-01038,01040-01043,01126-01131,01163-01170,01185-01193,01195-01204,01226-01230,01236-01238,01242-01245,01247-01257,01263-01279,01281-01283,01285-01295,01297-01303,01309-01320,01322-01323,01335-01336,01338-01343,01345-01347,01352-01355,01360-01361,01368-01371,01373-01376,01378-01380,01387-01397,01400-01402,01415,01420-01422,01424-01426,01433-01442,01445-01453,01457-01460,01490,01492-01495,01500-01504,01506-01508,01585-01596,01598-01599,01608,01610-01611,01613-01614,01687-01692,01759-01760,01762-01769,01771-01775,01781-01790,01835-01841,01843-01859,01865-01867,01873-01874,01876-01877,01881-01882,01884-01888,01916-01919,01929-01931,02061-02064,02067-02071,02076-02079,02128-02131,02199-02202,02204-02209,02264-02267,02274-02277,12693-12711,12747-12751,12771-12779,12840-12844,12858-12874,12879-12895,12936-12953,12960-12980,12982-12985]
32056128 zhux gc5 nid0[1520-1522,1778-1780,2212-2214]
32038683 uscms m2612 nid[01454-01455,02168-02173,12954-12959,13050-13055]
32038831 uscms m2612 nid[01582-01584,01635-01637,01647-01649,02138-02139,02144-02146,12687-12689,12921-12923]
32038898 uscms m2612 nid[01517,01575,01578,01695,01698,01703,01705,02080,02216-02217,12742-12743,12783-12784,12832-12833,12898-12899,12903-12904]
32039267 emurray7 mp351 nid0[2774-2775]
32039276 emurray7 mp351 nid0[2792-2793]
32039277 emurray7 mp351 nid0[2817-2818]
32039279 emurray7 mp351 nid0[2820-2821]
32056549 swpark m3564 nid12692
32045786 smanna m1917 nid01088
32045779 smanna m1917 nid12981
32068310 descdm m1727 nid10470
32067964 ntiwari m2755 nid0[1085-1087]
32059111 nintan2 m3628 nid[01046,01533-01534,12781-12782]
32050072 uscms m2612 nid[01194,01205-01207,01215,01224-01225,01260-01262,01686,01752,02192,12807-12810,12851-12853]
32052166 carlosmz mp329 nid01010
32042083 cemitch m669 nid[01125,01367,12823,12902]
32052153 carlosmz mp329 nid02137
32042088 uscms m2612 nid[00892,01213,01385,01405-01406,02228-02239,12732,12901,12918]
32068196 dbenjami m2616 nid[02819,02866-02867,02984-02985,03044-03046,03050-03051,03132-03133,03137-03138,03146,03152-03154,03248-03249,03266-03267,03326-03327,03371-03372,03398-03399,03463,03518,03530-03531,03560-03561,03564-03565,03654,03712-03718,03761,03886,03913,03925,03948,03979,04036,04038,04060-04061,04160,04307,04400-04407,04409-04416,04610,04620,04674,04705,04725,04737,04739,04743,04817,04837,04855,04859,04891-04898,04910,05036-05040,05048,05051,05119,05169,05181,05217,05426-05433,05469,05476,05547,05571,05595,05620,05623,05628,05640,05642,05644,05662,05671,05676,05684,05686,05688,06297-06299,06527-06530,06706-06707,06972-06974,07888-07890,07974-07975,07979-07980,08615-08617,08930-08931,10132-10134,10625-10627,10826-10827,10832-10839,10855-10857,11229-11231,11417-11419,11461-11467,11472-11473,11477-11479,11577-11578,11756-11758,12252-12254,12606-12607]
32068190 houhun m2621 nid[12761-12764]
32068144 lungerja m2997 nid0[3931-3940]
