JOBID USER ACCOUNT NODELIST
34782752 ylin m3652 nid[02668-02674,02676-02679,02688-02697,02710-02733,02735-02742,02752-02757,02772-02776,02778-02785,02787-02794,02800-02802,02931-02945,02947-02954,02959,02964-02965,02967-02974,02976-02979,02987-02997,02999-03013,03016-03019,03024-03025,03028-03030,03037-03039,03046-03052,03058-03076,03079-03085,03093-03095,03097-03112,03117-03121,03123-03130,03133-03135,03137-03146,03152-03159,03161-03163,03169-03171,03173-03182,03184-03191,03193-03197,03202-03207,03210-03211,03220,03224-03231,03233-03237,03240-03247,03252-03258,03766-03768,03770-03777,03780-03782,03954-03959,03961-03966,03968-03975,03977-03979,03995-03997,04001-04005,04008-04015,04017-04020,04025-04028,04034-04037,04039-04043,04048-04058,04191-04202,04208-04210,04213-04217,04219-04239,04244-04270,04273-04278,04280-04286,04288-04295,04297-04299,04304-04305,04309-04312,04328-04338,04341-04344,04353-04363,04372-04394,04400-04403,04409-04413,04417-04420,04432-04435,04437-04442,04444-04451,04454-04458,04460-04472,04512-04519,04528-04535,04544-04551,04564-04571,04573-04576,04578-04582,07035-07046,08743-08767,08770-08773,08775-08779,08784-08787,09306-09311,09313-09320,09328-09343,09346-09349,09365-09372,09381-09388,10134-10137,10157-10163,12093-12097,12099-12106,12113-12117,12133-12142]
34782751 ylin m3652 nid[02593-02594,02605-02608,02627-02628,02663-02664,04177-04185,06641-06646,08030-08038,08240-08247,08855-08862,08868-08871,08873-08880,08891-08907,08912-08915,08917-08922,08924-08931,08937-08951,09014-09022,09029-09031,09082-09085,09091-09093,09095-09097,09125-09163,09168-09231,09236-09239,09265-09270,09858-09871,10293-10315,10320-10383,10388-10443,10448-10511,10516-10571,10576-10617,10619-10639,10644-10699,10704-10767,10772-10814,10819-10827,10832,10927-10934]
34783417 sungwoo mp13 nid[02555-02567,02619-02626,02680-02687,02698-02703,02708-02709,02743-02751,02758-02763,02768-02771,02980-02986,03988-03994,04313-04327,04345-04352,04421-04427,04520-04527,04536-04543,04552-04555,04560-04563,07047-07051,07060-07074,08733-08742,08788-08847,08852-08853,09321-09327,09350-09359,09364,09373-09380,09890-09931,09936-09999,10004-10059,10064-10127,10132-10133,10138-10156,12118-12132]
34782749 ylin m3652 nid[02548-02551,03785-03787,03792-03855,03860-03877,03901-03915,03920-03948,04839-04879,04884-04903,04975-05007,05012-05037,05039-05067,05072-05086,05088-05131,05140-05162,06396-06415,06420-06475,06480-06488,06490-06539,07076-07115,07120-07137,09391-09419,09424-09454,09456-09487,09492-09505,09631-09675,09680-09692,10241-10255,10260-10291]
34782750 ylin m3652 nid[02516-02518,02526-02546,02569-02575,02581-02585,02588-02592,02597-02602,02610-02618,02631-02634,02640-02647,02650-02662,03309-03322,03324-03339,03409-03420,03422-03439,03441-03471,03595,03604-03645,03647-03659,03664-03685,03687-03699,03747-03761,04602-04611,04613-04619,04621-04623,04628-04639,04642-04665,04804-04811,04816-04834,04927-04939,04944-04973,05243-05263,05268-05281,05572-05576,06648-06661,07139-07146,08000-08011,08016-08028,08881-08890,08966-08970,08989-08993,08995-09002,09004-09010,09034-09035,09040-09047,09053-09063,09086-09090,09108-09113,09242-09247,09251-09263,09271-09279,09288-09291,09296-09299,09832-09841,09849-09857,09876-09881,09885-09889,10851-10855,10872-10880,10892-10895,10900-10904,10914-10926,10942-10946,10971-10984,11008-11014,11020-11023,11028-11049,11051-11058,11063-11083,11088-11101,12072-12084]
34782748 ylin m3652 nid[03260-03275,03280-03308,05450-05451,05456-05515,05524-05571,05578-05579,05584-05647,05652-05658,05690-05707,05712-05775,05780-05835,05840-05849,06904-06927,06932-06987,06992-07033,08252-08267,08272-08329,09694-09743,09748-09803,09808-09825,10164-10187,10192-10239]
34782746 ylin m3652 nid[06663-06667,06676-06731,06736-06799,06804-06859,06864-06877,11195-11211,11216-11279,11284-11339,11344-11407,11412-11467,11472-11530,12415-12671]
34782747 ylin m3652 nid[02609,02810-02827,02836-02891,02896-02927,03122,03421,03440,03476,03646,03686,03891-03900,04584-04601,04797-04801,04905-04923,05164-05195,05200-05241,06878-06901,07405-07409,08040-08079,08084-08139,08144-08207,08212-08239,08872,08916,08923,09101,09264,09512-09547,09552-09615,09620-09629,09884,10962,11103-11151,11156-11193,12144-12175,12180-12235,12240-12259]
34782745 ylin m3652 nid0[3340-3343,3348-3403,3408,3700-3727,3732-3744,3878-3890,5660-5687,6541-6543,6548-6603,6608-6640,7307-7311,7316-7367,7369-7371,7376-7404,7410-7435,7444-7499,7504-7567,7572-7627,7632-7695,7700-7755,7760-7823,7828-7848,7962-7998]
34782744 ylin m3652 nid[03478-03531,03536-03594,04061-04111,04116-04171,04473-04495,04500-04505,05851-05899,05908-05963,05968-06013,08331-08335,08340-08395,08400-08463,08468-08523,08528-08561,12261-12413]
